size,size_label,lower_bandwidth_p,upper_bandwidth_q,condition_number_1,condition_number_2,condition_number_inf,block_lu_backend,block_lu_block_size,block_lu_elapsed_median_seconds,block_lu_elapsed_mean_seconds,block_lu_algorithm_peak_memory_mb,block_lu_process_peak_memory_mb,block_lu_cpu_usage_avg_percent_total_capacity,block_lu_cpu_usage_peak_percent_total_capacity,block_lu_gpu_usage_peak_percent,block_lu_gpu_memory_peak_mb,block_lu_cache_hit_percent_proxy_avg,block_lu_cache_miss_percent_proxy_avg,block_lu_lu_relative_error_inf,block_lu_x_b_relative_error_inf,block_lu_x_c_relative_error_inf,block_lu_x_b_normalized_residual_inf,block_lu_x_c_normalized_residual_inf,thomas4_backend,thomas4_elapsed_median_seconds,thomas4_elapsed_mean_seconds,thomas4_algorithm_peak_memory_mb,thomas4_process_peak_memory_mb,thomas4_cpu_usage_avg_percent_total_capacity,thomas4_cpu_usage_peak_percent_total_capacity,thomas4_gpu_usage_peak_percent,thomas4_gpu_memory_peak_mb,thomas4_cache_hit_percent_proxy_avg,thomas4_cache_miss_percent_proxy_avg,thomas4_lu_relative_error_inf,thomas4_x_b_relative_error_inf,thomas4_x_c_relative_error_inf,thomas4_x_b_normalized_residual_inf,thomas4_x_c_normalized_residual_inf,thomas4_note,block_lu_note
8,ukuran_8x8,1,2,111.60113237916462,81.07004949469635,191.12423178832273,CPU,4,0.0007914214006331586,0.0007938452918401372,0.002197265625,314.0,6.548776906206509,6.26875,0.0,0.0,100.0,0.0,1.4677723752315661e-16,1.1171387024060694e-15,7.562686632372366e-16,2.99898661678982e-17,1.522897708861979e-17,CPU,0.0003703658805088193,0.00036904374214398835,0.00067138671875,314.05859375,5.519480947732905,6.3,0.0,0.0,100.0,0.0,1.4677723752315661e-16,9.930121799165063e-16,3.781343316186183e-16,2.998986616789819e-17,1.0152651392413197e-17,Compact solver for lower bandwidth 1 and upper bandwidth 2.,Dense blocked LU used as the general-purpose banded fallback.
16,ukuran_16x16,1,2,71.00426385187406,30.216364710751677,78.83400088566593,CPU,4,0.0013629022596330293,0.0013633602259333355,0.00830078125,314.09375,5.525994360024709,6.2625,0.0,0.0,0.0,100.0,8.436069143933059e-17,3.244284222596105e-16,2.4505343162659316e-16,3.8297842164072644e-17,4.2221130533153084e-17,CPU,0.00045995193142883575,0.00045992296135108997,0.00140380859375,314.09765625,5.249684850083907,6.3,0.0,0.0,25.0,75.0,8.436069143933059e-17,2.5954273780768837e-16,1.8379007371994485e-16,2.1276578980040358e-17,5.830537073625902e-17,Compact solver for lower bandwidth 1 and upper bandwidth 2.,Dense blocked LU used as the general-purpose banded fallback.
32,ukuran_32x32,1,2,152.1487537462527,83.38121139723309,355.7656705779834,CPU,4,0.002595994595295607,0.0025947012615532756,0.0322265625,314.171875,5.66584061963881,6.36875,0.0,0.0,50.0,50.0,4.696198310660629e-16,1.7894152544890077e-15,2.026254423741052e-15,1.618189789887658e-16,1.3419558901033369e-16,CPU,0.0006577450121524052,0.0006593898782810228,0.00286865234375,314.1796875,6.148184898838619,7.875,0.0,0.0,50.0,50.0,4.696198310660629e-16,1.7148562855519657e-15,1.0751554085156601e-15,1.281066916994396e-16,7.455310500574092e-17,Compact solver for lower bandwidth 1 and upper bandwidth 2.,Dense blocked LU used as the general-purpose banded fallback.
128,ukuran_128x128,1,2,1060497.2096343974,406244.76247367385,2484039.0404089247,CPU,8,0.007970439472333774,0.007975380000119147,0.50390625,316.91015625,5.825414001915797,6.3,0.0,0.0,50.0,50.0,2.785718761372535e-15,2.1961172157818246e-15,7.327802841510725e-15,1.1355603856052536e-17,1.2576598569098935e-17,CPU,0.0018461544215552458,0.001857447891090648,0.01165771484375,316.91015625,5.345701223833315,6.3,0.0,0.0,40.0,60.0,2.785718761372535e-15,3.67483614107492e-14,8.200160322642954e-15,1.1355603856052096e-17,1.978953843275827e-17,Compact solver for lower bandwidth 1 and upper bandwidth 2.,Dense blocked LU used as the general-purpose banded fallback.
256,ukuran_256x256,1,2,1.129309206862163e+20,3.1815467851948827e+19,3.384383373827272e+19,CPU,8,0.01794362777662981,0.017924002221682007,2.0078125,320.6796875,10.205017014229552,17.325,0.0,0.0,100.0,0.0,3.527894440487208e-22,3.3281683121675987e-14,3.6372215006031964e-14,7.386909353521635e-20,8.410737237786599e-20,CPU,0.003420388506693316,0.0034258797703225208,0.02337646484375,315.828125,5.245288137665359,5.39375,0.0,0.0,100.0,0.0,3.527894440487208e-22,3.789767413738629e-14,7.092342320016772e-14,7.386909353521659e-20,8.410737237786507e-20,Compact solver for lower bandwidth 1 and upper bandwidth 2.,Dense blocked LU used as the general-purpose banded fallback.
512,ukuran_512x512,1,2,78358.28370861085,26485.229056812135,100672.1110576966,CPU+GPU,32,0.03665472001302987,0.039274180000647904,8.015625,358.37890625,4.1409042116348616,7.03125,35.0,1309.0,100.0,0.0,8.427256063511227e-15,2.218967272523781e-15,2.6135088600078933e-15,8.487799517201823e-17,4.8101167909979426e-17,CPU,0.006612477777525783,0.006655711999887393,0.04681396484375,346.5,6.495181138219472,6.3,0.0,0.0,40.0,60.0,8.427256063511228e-15,2.3576527270565173e-15,2.3646032542928556e-15,1.2142268753774886e-16,9.607009893223414e-17,Compact solver for lower bandwidth 1 and upper bandwidth 2.,Dense blocked LU used as the general-purpose banded fallback.
