status,size,method,method_display_name,family,storage_model,repetitions,block_size,elapsed_compute_median_seconds,elapsed_compute_mean_seconds,elapsed_profile_run_seconds,algorithm_peak_memory_mb,lu_relative_error_inf,x_b_relative_error_inf,x_c_relative_error_inf,x_b_normalized_residual_inf,x_c_normalized_residual_inf,cpu_time_seconds,cpu_usage_avg_percent_total_capacity,cpu_usage_peak_percent_total_capacity,memory_peak_mb,gpu_usage_peak_percent,gpu_memory_peak_mb,cache_hit_percent_proxy_avg,cache_miss_percent_proxy_avg,skip_reason,method_note
measured,16384,thomas,Thomas Algorithm,specialized,tridiagonal compact,8,,0.15963075001491234,0.15948583751742262,0.15460270002949983,1.499969482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934291091086504e-17,0.15625,4.707532243935281,6.3,1033.3515625,0.0,0.0,97.43814172080113,2.561858279198873,,Structure-aware tridiagonal LU on compact diagonals.
skipped,16384,block_lu_cpu,Block LU CPU,block,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense block path above this size would exceed practical RAM or benchmark time.,Blocked no-pivot LU on CPU with backend-aware block size.
skipped,16384,block_lu_gpu,Block LU GPU,block,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense block path above this size would exceed practical RAM or benchmark time.,Blocked no-pivot LU on GPU with on-device triangular solves.
skipped,16384,doolittle,LU Doolittle,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix Doolittle LU without pivoting.
skipped,16384,gaussian_elimination,LU Gaussian Elimination,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix in-place Gaussian elimination LU without pivoting.
measured,32768,thomas,Thomas Algorithm,specialized,tridiagonal compact,6,,0.30787915000109933,0.30911421666193445,0.3095481999916956,2.999969482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.9343078224313106e-17,0.3125,6.144418248720066,6.3,1034.68359375,0.0,0.0,0.0,100.0,,Structure-aware tridiagonal LU on compact diagonals.
skipped,32768,block_lu_cpu,Block LU CPU,block,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense block path above this size would exceed practical RAM or benchmark time.,Blocked no-pivot LU on CPU with backend-aware block size.
skipped,32768,block_lu_gpu,Block LU GPU,block,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense block path above this size would exceed practical RAM or benchmark time.,Blocked no-pivot LU on GPU with on-device triangular solves.
skipped,32768,doolittle,LU Doolittle,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix Doolittle LU without pivoting.
skipped,32768,gaussian_elimination,LU Gaussian Elimination,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix in-place Gaussian elimination LU without pivoting.
measured,65536,thomas,Thomas Algorithm,specialized,tridiagonal compact,4,,0.6121908999921288,0.6125254500075243,0.6098098999937065,5.999969482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.9343161881462646e-17,0.59375,5.592939996319587,7.75,1036.76171875,0.0,0.0,20.0,80.0,,Structure-aware tridiagonal LU on compact diagonals.
skipped,65536,block_lu_cpu,Block LU CPU,block,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense block path above this size would exceed practical RAM or benchmark time.,Blocked no-pivot LU on CPU with backend-aware block size.
skipped,65536,block_lu_gpu,Block LU GPU,block,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense block path above this size would exceed practical RAM or benchmark time.,Blocked no-pivot LU on GPU with on-device triangular solves.
skipped,65536,doolittle,LU Doolittle,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix Doolittle LU without pivoting.
skipped,65536,gaussian_elimination,LU Gaussian Elimination,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix in-place Gaussian elimination LU without pivoting.
